meanSpeed,meanWaitingTime,speedFactor
13.4,9.027999999999999,0.22333333333333333
14.8,4.4526,0.24666666666666667
9.5,14.8664,0.15833333333333333
24.8,20.431600000000003,0.41333333333333333
14.8,4.957,0.24666666666666667
28.1,2.9844000000000004,0.4683333333333334
27.1,2.9741999999999997,0.4516666666666667
27.4,2.9578000000000007,0.45666666666666667
27.6,2.9089999999999994,0.46
27.0,2.8386000000000005,0.45
24.4,3.9911999999999996,0.4066666666666666
21.5,5.981200000000001,0.35833333333333334
8.1,6.244999999999999,0.13499999999999998
17.5,3.2946000000000004,0.2916666666666667
11.6,8.4948,0.19333333333333333
11.6,6.349,0.19333333333333333
22.4,4.4084,0.3733333333333333
13.3,3.2571999999999997,0.22166666666666668
3.2,65.789,0.05333333333333334
20.9,13.814,0.34833333333333333
4.6,59.3826,0.07666666666666666
29.3,3.7286,0.48833333333333334
28.1,4.1766000000000005,0.4683333333333334
15.4,9.3652,0.25666666666666665
25.9,15.818000000000001,0.43166666666666664
30.0,1.7878,0.5
11.5,10.58,0.19166666666666668
11.0,8.2654,0.18333333333333332
8.3,10.178,0.13833333333333334
9.5,5.2606,0.15833333333333333
8.7,18.638199999999998,0.145
10.8,10.1456,0.18000000000000002
21.3,8.439,0.35500000000000004
13.6,11.862,0.22666666666666666
4.3,127.54339999999999,0.07166666666666667
10.3,35.461800000000004,0.1716666666666667
18.0,18.7238,0.3
29.6,1.9289999999999998,0.49333333333333335
30.1,1.4876000000000003,0.5016666666666667
30.9,1.637,0.515
31.0,1.4254000000000002,0.5166666666666667
28.8,1.8274,0.48000000000000004
27.9,1.8664000000000003,0.46499999999999997
13.9,15.0364,0.23166666666666666
16.6,5.1848,0.27666666666666667
6.8,13.4728,0.11333333333333333
22.0,5.484400000000001,0.36666666666666664
14.6,16.6274,0.24333333333333332
11.7,10.887599999999999,0.19499999999999998
27.0,3.8766,0.45
8.1,23.2714,0.13499999999999998
4.5,34.757400000000004,0.075
8.2,38.9612,0.13666666666666666
10.1,30.4768,0.16833333333333333
15.1,20.7408,0.25166666666666665
11.4,13.091400000000002,0.19
17.3,6.583,0.28833333333333333
17.7,11.628,0.295
17.7,0.23799999999999777,0.9833333333333333
15.0,9.3224,0.25
18.0,8.244399999999999,0.3
24.0,0.0,1.3333333333333333
6.2,24.2516,0.10333333333333333
13.2,5.154599999999999,0.22
5.7,31.5482,0.095
7.4,32.2226,0.12333333333333334
14.9,7.017,0.24833333333333335
13.2,9.254199999999999,0.22
19.0,0.0,1.0555555555555556
24.1,9.899999999999999,0.40166666666666667
9.5,11.355599999999999,0.15833333333333333
8.5,36.7764,0.14166666666666666
6.4,30.7476,0.10666666666666667
9.5,10.1168,0.15833333333333333
9.9,8.3512,0.165
9.6,41.8742,0.16
19.1,9.019400000000001,0.31833333333333336
20.7,9.8732,0.345
6.5,14.636599999999998,0.10833333333333334
7.7,9.2146,0.12833333333333333
4.6,43.371599999999994,0.07666666666666666
11.7,9.0332,0.19499999999999998
5.5,25.2062,0.09166666666666666
4.3,31.623199999999997,0.07166666666666667
12.0,9.353,0.2
15.2,5.9978,0.2533333333333333
14.8,17.6722,0.24666666666666667
6.5,56.157999999999994,0.10833333333333334
18.6,8.854000000000001,0.31
15.4,11.04,0.25666666666666665
13.8,9.1962,0.23
20.5,3.7,0.3416666666666667
17.1,8.0466,0.28500000000000003
12.8,30.0886,0.21333333333333335
9.9,21.992800000000003,0.165
15.7,10.6668,0.26166666666666666
15.1,3.9978,0.25166666666666665
29.0,1.1356000000000002,0.48333333333333334
15.2,2.2982,0.2533333333333333
15.2,4.0758,0.2533333333333333
19.4,5.5966000000000005,0.3233333333333333
7.9,26.5274,0.13166666666666668
9.8,10.1652,0.16333333333333336
10.5,35.499,0.175
18.4,4.2514,0.30666666666666664
9.2,17.925800000000002,0.15333333333333332
33.0,4.1362,0.55
13.7,14.9376,0.22833333333333333
12.8,11.324200000000001,0.21333333333333335
12.5,24.1928,0.20833333333333334
12.6,8.985,0.21
15.2,5.6572000000000005,0.2533333333333333
7.9,27.4344,0.13166666666666668
27.5,1.2308000000000001,0.4583333333333333
26.9,1.6346,0.4483333333333333
16.4,11.022,0.2733333333333333
14.0,5.9018,0.23333333333333334
14.9,7.35,0.24833333333333335
15.1,7.252199999999999,0.25166666666666665
12.9,6.966199999999999,0.215
17.1,3.955,0.28500000000000003
8.1,32.1036,0.13499999999999998
17.8,4.791599999999999,0.2966666666666667
17.8,5.2828,0.2966666666666667
0.7,172.7788,0.011666666666666665
25.0,2.9974,0.4166666666666667
11.8,18.072400000000002,0.19666666666666668
14.6,12.778399999999998,0.24333333333333332
12.5,10.3802,0.20833333333333334
16.3,5.145200000000001,0.27166666666666667
10.1,6.0144,0.16833333333333333
9.8,14.2166,0.16333333333333336
20.2,6.787000000000001,0.33666666666666667
21.3,10.328800000000001,0.35500000000000004
21.3,7.2542,0.35500000000000004
19.5,14.942799999999998,0.325
21.7,4.98,0.36166666666666664
8.3,9.93,0.13833333333333334
8.3,4.6894,0.13833333333333334
12.4,25.744,0.20666666666666667
10.8,10.759799999999998,0.18000000000000002
10.1,15.5928,0.16833333333333333
9.8,12.8594,0.16333333333333336
15.8,6.64,0.26333333333333336
20.7,2.4046,0.345
26.8,4.762999999999999,0.44666666666666666
7.3,23.627200000000002,0.12166666666666666
8.6,20.8928,0.14333333333333334
14.4,4.9002,0.24000000000000002
12.6,65.9862,0.21
21.6,9.035599999999999,0.36000000000000004
14.8,3.4192,0.24666666666666667
22.7,8.9466,0.3783333333333333
22.6,11.6458,0.3766666666666667
25.3,5.916200000000001,0.4216666666666667
22.4,6.2692,0.3733333333333333
25.3,5.179400000000001,0.4216666666666667
16.8,8.689,0.28
15.2,7.4106,0.2533333333333333
15.3,2.924,0.255
16.7,13.2028,0.2783333333333333
18.2,8.953,0.30333333333333334
23.8,9.1554,0.39666666666666667
24.4,5.9613999999999985,0.4066666666666666
17.6,7.5054,0.29333333333333333
26.0,5.1244,0.43333333333333335
12.2,33.0844,0.2033333333333333
16.0,10.1738,0.26666666666666666
15.9,20.0862,0.265
14.9,7.9681999999999995,0.24833333333333335
13.0,25.153,0.21666666666666667
13.0,15.6662,0.21666666666666667
9.0,14.7112,0.15
11.1,22.7382,0.185
13.8,37.9406,0.23
8.6,23.284,0.14333333333333334
12.4,8.6082,0.20666666666666667
12.6,7.142399999999999,0.21
15.2,5.3918,0.2533333333333333
15.2,13.7866,0.2533333333333333
10.1,9.7726,0.16833333333333333
13.0,6.874,0.21666666666666667
13.8,6.617,0.23
14.2,9.3442,0.23666666666666666
21.0,3.4559999999999995,0.35
19.4,8.7026,0.3233333333333333
22.6,6.008800000000001,0.3766666666666667
29.0,4.1076,0.48333333333333334
14.8,25.785199999999996,0.24666666666666667
15.4,17.1886,0.25666666666666665
13.0,6.411,0.21666666666666667
18.2,4.622999999999999,0.30333333333333334
14.7,10.0428,0.245
9.9,7.9521999999999995,0.165
22.0,6.0176,0.36666666666666664
6.5,26.3688,0.10833333333333334
21.6,3.0156,0.36000000000000004
14.4,5.6076,0.24000000000000002
13.2,23.7024,0.22
8.4,20.5588,0.14
15.3,11.008799999999999,0.255
14.5,11.586599999999999,0.24166666666666667
17.4,7.667400000000001,0.29
13.3,26.865800000000004,0.22166666666666668
18.7,7.741,0.31166666666666665
19.0,8.958199999999998,0.31666666666666665
27.3,1.6447999999999998,0.455
15.8,28.893200000000004,0.26333333333333336
14.6,10.748000000000001,0.24333333333333332
18.2,13.0444,0.30333333333333334
21.6,4.1076,0.36000000000000004
23.8,5.882000000000001,0.39666666666666667
16.1,8.1468,0.26833333333333337
14.6,9.6464,0.24333333333333332
20.2,6.498200000000001,0.33666666666666667
11.7,13.213799999999999,0.19499999999999998
16.7,15.130999999999998,0.2783333333333333
13.6,8.4356,0.22666666666666666
11.1,6.5152,0.185
15.0,2.7976,0.25
15.0,4.2382,0.25
22.4,16.5904,0.3733333333333333
10.3,9.8682,0.1716666666666667
20.4,7.7382,0.33999999999999997
20.3,7.703800000000001,0.3383333333333333
16.8,31.188399999999998,0.28
12.5,11.4252,0.20833333333333334
18.6,8.455400000000001,0.31
18.1,2.6610000000000005,0.3016666666666667
8.2,53.6104,0.13666666666666666
11.3,16.9516,0.18833333333333335
22.5,16.302,0.375
48.9,0.9347999999999992,0.815
14.1,36.331599999999995,0.235
10.2,20.461,0.16999999999999998
16.4,11.372800000000002,0.2733333333333333
17.4,2.5140000000000002,0.29
29.5,4.2974,0.49166666666666664
13.6,10.8484,0.22666666666666666
13.6,3.7538,0.22666666666666666
17.2,2.6234,0.2866666666666667
17.2,6.746800000000001,0.2866666666666667
15.1,2.001,0.25166666666666665
7.8,29.2928,0.13
15.2,4.086399999999999,0.2533333333333333
15.2,2.0458000000000003,0.2533333333333333
15.2,2.0597999999999996,0.2533333333333333
15.2,2.508,0.2533333333333333
24.0,8.011199999999999,0.4
15.2,4.4544,0.2533333333333333
6.6,16.9934,0.11
12.4,11.039,0.20666666666666667
24.8,4.958400000000001,0.41333333333333333
24.8,5.3758,0.41333333333333333
6.9,20.0276,0.115
15.6,15.293600000000001,0.26
5.5,39.1596,0.09166666666666666
8.8,18.4632,0.14666666666666667
21.6,7.1091999999999995,0.36000000000000004
13.9,8.5208,0.23166666666666666
13.5,4.1616,0.225
12.7,21.156399999999998,0.21166666666666664
15.5,6.979,0.25833333333333336
20.5,14.5484,0.3416666666666667
13.0,9.6282,0.21666666666666667
7.7,44.293800000000005,0.12833333333333333
3.8,22.738400000000002,0.06333333333333332
3.6,54.379000000000005,0.060000000000000005
8.8,17.9984,0.14666666666666667
13.2,6.795200000000001,0.22
16.0,9.5046,0.26666666666666666
8.6,33.7178,0.14333333333333334
7.4,15.826199999999998,0.12333333333333334
4.8,27.5912,0.08
14.5,7.766,0.24166666666666667
21.6,9.289,0.36000000000000004
5.7,17.2512,0.095
27.0,0.0,1.5
17.8,14.6268,0.2966666666666667
9.7,7.0638,0.16166666666666665
7.4,32.818,0.12333333333333334
10.9,9.413,0.18166666666666667
27.0,0.0,1.5
27.0,0.0,1.5
15.0,11.670200000000001,0.25
15.0,9.3834,0.25
17.3,6.497399999999999,0.28833333333333333
17.2,20.491999999999997,0.2866666666666667
6.7,17.7882,0.11166666666666666
11.1,20.262,0.185
3.9,46.657599999999995,0.065
14.6,6.0081999999999995,0.24333333333333332
8.8,13.5,0.14666666666666667
9.0,6.9336,0.15
10.5,7.687600000000001,0.175
9.0,14.41,0.15
9.0,10.459,0.15
12.7,6.2724,0.21166666666666664
12.6,8.508,0.21
10.5,10.4552,0.175
9.2,6.6312,0.15333333333333332
11.4,12.4684,0.19
9.1,11.869,0.15166666666666667
8.8,20.0948,0.14666666666666667
12.5,5.446,0.20833333333333334
12.4,3.8024,0.20666666666666667
12.8,9.284,0.21333333333333335
23.4,3.7563999999999997,0.38999999999999996
28.2,2.8198000000000003,0.47
18.1,9.478000000000002,0.3016666666666667
13.0,24.511200000000002,0.21666666666666667
15.2,2.0814,0.2533333333333333
8.5,29.4738,0.14166666666666666
13.6,7.3094,0.22666666666666666
11.2,11.9484,0.18666666666666665
11.4,13.0088,0.19
18.5,2.8333999999999997,0.30833333333333335
32.0,1.524,0.5333333333333333
11.1,11.0642,0.185
25.0,4.6604,0.4166666666666667
11.2,7.8674,0.18666666666666665
8.5,5.4706,0.14166666666666666
17.0,5.7414,0.2833333333333333
12.6,5.5774,0.21
9.3,33.374399999999994,0.155
8.3,9.6074,0.13833333333333334
13.6,5.8839999999999995,0.22666666666666666
11.8,14.447399999999998,0.19666666666666668
12.6,15.358800000000002,0.21
14.6,15.772599999999999,0.24333333333333332
11.1,5.9442,0.185
13.0,5.466800000000001,0.21666666666666667
6.5,13.7122,0.10833333333333334
14.1,3.7054,0.235
10.7,4.4164,0.17833333333333332
15.8,3.3174,0.26333333333333336
15.8,5.5038,0.26333333333333336
6.7,34.5026,0.11166666666666666
10.0,13.475200000000001,0.16666666666666666
14.9,5.3782000000000005,0.24833333333333335
10.4,12.2736,0.17333333333333334
13.5,8.033,0.225
14.5,7.8306000000000004,0.24166666666666667
4.6,14.8908,0.07666666666666666
5.7,23.828599999999998,0.095
4.8,14.3914,0.08
1.0,96.11399999999999,0.016666666666666666
7.0,16.0914,0.11666666666666667
11.8,5.1974,0.19666666666666668
12.9,5.17,0.215
13.0,5.3346,0.21666666666666667
12.7,10.636600000000001,0.21166666666666664
12.5,4.9994,0.20833333333333334
13.8,2.7428,0.23
13.8,2.2270000000000003,0.23
13.8,5.0241999999999996,0.23
12.3,9.937000000000001,0.20500000000000002
45.0,0.7957999999999998,0.75
48.0,0.5997999999999997,0.8
12.1,9.174,0.20166666666666666
12.9,16.761200000000002,0.215
10.8,8.445599999999999,0.18000000000000002
11.1,4.9684,0.185
10.9,3.5831999999999997,0.18166666666666667
9.4,9.1334,0.15666666666666668
18.3,2.596,0.305
12.9,2.8916,0.215
