TAZ,Poly,Area,Weight,GenEdge,PedEdge
-1357,-115994,323,0.0013538832977746853,--118625#2,--118625#2
-1357,-114626,752,0.0031520750462122704,-117527,-117527
-1357,-115120,866,0.0036299162101327475,-115684#19,--117432
-1357,-118460,100,0.00041915891571971684,-116103#0,-116103#0
-1357,-115784,50,0.00020957945785985842,--114487#2,--114487#2
-1357,-116536,642,0.002691000238920582,--115416#1,--115416#1
-1357,-115796,1800,0.007544860482954903,--116322#2,--114693
-1357,-116956,763,0.003198182526941439,-116120,--117786
-1357,-117388,921,0.003860453613778592,--115848#1,--115848#1
-1357,-115016,1400,0.005868224820076036,-117818#3,--117870
-1357,-114833,1696,0.007108935210606397,-117376#0,-117376#0
-1357,-117478,973,0.0040784162499528445,--116716,--116716
-1357,-115213,173,0.0007251449241951101,-117053#2,-117053#2
-1357,-115823,197,0.0008257430639678421,--117105,--117105
-1357,-117499,712,0.002984411479924384,-118354#1,-118354#1
-1357,-114988,789,0.0033071638450285655,-116901,--114746#1
-1357,-115594,74,0.00031017759763259046,-117817#1,-117817#1
-1357,-116532,191,0.0008005935290246591,--116328#0,--116328#0
-1357,-118701,108,0.00045269162897729415,-114976#1,-114976#1
-1357,-117760,974,0.004082607839110042,--114327,--114327
-1357,-116183,3368,0.014117272281440062,--115474#1,-115164
-1357,-114798,38,0.0001592803879734924,-116198#1,-116198#1
-1357,-114731,126,0.0005281402338068432,--116254#0,--116254#0
-1357,-118468,327,0.001370649654403474,-115684#20,-116863#0
-1357,-117494,25,0.00010478972892992921,-115548#0,-115548#0
-1357,-115757,117,0.0004904159313920686,-114561,-114561
-1357,-117434,470,0.001970046903882669,-118696#1,-118696#1
-1357,-118619,992,0.004158056443939591,-116477#2,-116477#2
-1357,-115560,72,0.0003017944193181961,-115312#2,-115312#2
-1357,-116861,1479,0.006199360363494612,-114974,-114974
-1357,-118355,641,0.0026868086497633848,--115788,--115788
-1357,-115742,9372,0.03928357358125186,--115042#0,--116216#1
-1357,-114437,2582,0.010822683203883089,--116031#0,--116031#0
-1357,-116833,103,0.00043173368319130833,--117387#10,--117387#10
-1357,-116476,1089,0.004564640592187716,--115042#2,--116228
-1357,-117099,3809,0.015965763099764014,--115042#3,--115042#3
-1357,-116222,67,0.00028083647353221026,-115751#3,-115751#3
-1357,-115768,332,0.0013916076001894598,-118509#2,-118509#2
-1357,-115850,103,0.00043173368319130833,-117385#0,-117385#0
-1357,-116380,568,0.0023808226412879913,-116862,-116862
-1357,-116689,420,0.0017604674460228106,-117761#0,-117761#0
-1357,-117268,132,0.0005532897687500262,--116543,--116543
-1357,-117493,860,0.0036047666751895645,-117288#2,-117288#2
-1357,-114749,400,0.0016766356628788674,--115173,--115173
-1357,-114641,92,0.00038562620246213947,--117387#8,--117387#8
-1357,-116243,183,0.0007670608157670818,-117053#4,-117053#4
-1357,-117666,1647,0.006903547341903736,-118201#0,-118201#0
-1357,-117574,530,0.002221542253314499,-115684#18,-116737#5
-1357,-115713,154,0.0006455047302083639,-118591#0,-118591#0
-1357,-116713,139,0.0005826308928504063,-115788,-115788
-1357,-115794,1523,0.006383790286411287,-115951,-115951
-1357,-117921,85,0.00035628507836175927,--115548#2,--115548#2
-1357,-117940,4081,0.017105875350521643,--117818#8,-116973
-1357,-116284,67,0.00028083647353221026,--116367#2,--116367#2
-1357,-114350,1932,0.00809815025170493,-115684#18,--116737#5
-1357,-114616,162,0.0006790374434659412,-115635#0,-115635#0
-1357,-114827,9982,0.041840442967142136,--116322#7,--116322#7
-1357,-115265,114,0.0004778411639204772,-118640,-118640
-1357,-118037,158,0.0006622710868371526,-115790#2,-115790#2
-1357,-117564,1027,0.004304762064441491,-116322#7,-115562
-1357,-117640,274,0.001148495429072024,-118491,-118491
-1357,-118168,52,0.00021796263617425275,-114681#0,-114681#0
-1357,-118386,330,0.0013832244218750654,-115661,-115661
-1357,-114361,3439,0.01441487511160106,-117110#0,-117110#0
-1357,-116422,5055,0.021188483189631686,--117110#1,--117110#1
-1357,-117031,411,0.0017227431436080362,-117908#1,-117908#1
-1357,-118239,265,0.0011107711266572496,-117908#1,-117908#1
-1357,-116445,1327,0.005562238811600642,--116953,--116953
-1357,-116981,60,0.0002514953494318301,-115613#10,-115613#10
-1357,-117382,1975,0.008278388585464407,-115684#20,-117432
-1357,-117915,688,0.002883813340151652,--115249,--115249
-1357,-118398,172,0.000720953335037913,-118139,-118139
-1357,-114349,1497,0.006274808968324161,--117817#0,--117817#0
-1357,-117290,169,0.0007083785675663214,--118625#0,--118625#0
-1357,-117361,676,0.0028335142702652855,-116426#1,-115124
-1357,-116670,3143,0.0131741647210707,--116874#0,--116874#0
-1357,-118299,309,0.001295201049573925,-115684#20,-116377#20
-1357,-116175,148,0.0006203551952651809,--118208,--118208
-1357,-117562,2587,0.010843641149669073,--114360#2,--114360#2
-1357,-118290,92,0.00038562620246213947,-114913#3,-114913#3
-1357,-118676,58,0.00024311217111743576,--115927#2,--115927#2
-1357,-115203,269,0.0011275374832860382,-116045,-116045
-1357,-118082,70,0.00029341124100380175,--117218#1,--117218#1
